Date,RegionName,AreaCode,AveragePrice,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume
01/01/2004,Aberdeenshire,S12000034,84638,41.1,,,,,388,130620,43.2,,,73972,40.9,,,58247,38.8,,,49322,45.7,,,,,,,,,,,,,,,,,,,,,112843,40.7,,,103,81273,41.0,,,285
01/02/2004,Aberdeenshire,S12000034,84623,41.1,,0.0,,,326,129330,42.7,-1.0,,74225,41.1,0.3,,58669,39.1,0.7,,50364,46.7,2.1,,,,,,,,,,,,,,,,,,,,113061,40.8,0.2,,107,81194,40.9,-0.1,,219
01/03/2004,Aberdeenshire,S12000034,86536,42.1,,2.3,,,453,131585,43.5,1.7,,76201,42.2,2.7,,60399,40.2,2.9,,51719,47.9,2.7,,,,,,,,,,,,,,,,,,,,115218,41.6,1.9,,140,83137,41.9,2.4,,313
01/04/2004,Aberdeenshire,S12000034,87373,42.5,,1.0,,,571,130454,43.1,-0.9,,78082,43.2,2.5,,62326,41.5,3.2,,53143,49.2,2.8,,,,,,,,,,,,,,,,,,,,115247,41.6,0.0,,180,84241,42.5,1.3,,391
01/05/2004,Aberdeenshire,S12000034,89493,43.5,,2.4,,,502,132762,43.9,1.8,,80340,44.5,2.9,,64442,42.9,3.4,,54678,50.7,2.9,,,,,,,,,,,,,,,,,,,,117377,42.4,1.8,,167,86466,43.6,2.6,,335
01/06/2004,Aberdeenshire,S12000034,92485,44.9,,3.3,,,525,136572,45.1,2.9,,83191,46.0,3.5,,66935,44.6,3.9,,56901,52.7,4.1,,,,,,,,,,,,,,,,,,,,121174,43.7,3.2,,164,89391,45.1,3.4,,361
01/07/2004,Aberdeenshire,S12000034,96401,46.8,,4.2,,,652,143558,47.4,5.1,,86122,47.7,3.5,,69178,46.1,3.4,,58734,54.4,3.2,,,,,,,,,,,,,,,,,,,,125918,45.4,3.9,,163,93285,47.0,4.4,,489
01/08/2004,Aberdeenshire,S12000034,101315,49.2,,5.1,,,512,151700,50.1,5.7,,90186,49.9,4.7,,72334,48.2,4.6,,61241,56.7,4.3,,,,,,,,,,,,,,,,,,,,131712,47.5,4.6,,130,98214,49.5,5.3,,382
01/09/2004,Aberdeenshire,S12000034,102220,49.7,,0.9,,,497,153471,50.7,1.2,,90814,50.3,0.7,,72793,48.5,0.6,,61552,57.0,0.5,,,,,,,,,,,,,,,,,,,,132519,47.8,0.6,,142,99193,50.0,1.0,,355
01/10/2004,Aberdeenshire,S12000034,102655,49.9,,0.4,,,590,154137,50.9,0.4,,91003,50.4,0.2,,73013,48.6,0.3,,62088,57.5,0.9,,,,,,,,,,,,,,,,,,,,133810,48.3,1.0,,164,99411,50.1,0.2,,426
01/11/2004,Aberdeenshire,S12000034,103013,50.1,,0.3,,,516,154524,51.0,0.3,,91347,50.6,0.4,,73387,48.9,0.5,,62368,57.8,0.5,,,,,,,,,,,,,,,,,,,,135149,48.8,1.0,,149,99516,50.2,0.1,,367
01/12/2004,Aberdeenshire,S12000034,104124,50.6,,1.1,,,465,155437,51.4,0.6,,92487,51.2,1.2,,74650,49.7,1.7,,63507,58.8,1.8,,,,,,,,,,,,,,,,,,,,137565,49.7,1.8,,151,100326,50.6,0.8,,314
01/01/2005,Aberdeenshire,S12000034,105489,51.3,,1.3,24.6,,400,157689,52.1,1.4,20.7,93489,51.7,1.1,26.4,75726,50.4,1.4,30.0,64143,59.4,1.0,30.1,,,,,,,,,,,,,,,,,,,140762,50.8,2.3,24.7,42,101264,51.1,0.9,24.6,358
01/02/2005,Aberdeenshire,S12000034,101145,49.2,,-4.1,19.5,,289,151325,50.0,-4.0,17.0,89744,49.7,-4.0,20.9,72698,48.4,-4.0,23.9,61400,56.9,-4.3,21.9,,,,,,,,,,,,,,,,,,,136002,49.1,-3.4,20.3,52,96831,48.8,-4.4,19.3,237
01/03/2005,Aberdeenshire,S12000034,98196,47.7,,-2.9,13.5,,435,146603,48.4,-3.1,11.4,86697,48.0,-3.4,13.8,70433,46.9,-3.1,16.6,59005,54.7,-3.9,14.1,,,,,,,,,,,,,,,,,,,132165,47.7,-2.8,14.7,91,93927,47.4,-3.0,13.0,344
