AreaCode,RegionName,Quarter,AveragePrice,12m%Change,DetachedPrice,Detached12m%Change,SemiDetachedPrice,SemiDetached12m%Change,TerracedPrice,Terraced12m%Change,FlatPrice,Flat12m%Change,Average_Income,Rate,CPI_Index,SalesVolume,Long_Term_Issued,Short_Term_Issued,Crime_Property,Crime_Violent,Crime_PublicOrder,Grant of Asylum
E09000003,Barnet,2015Q2,499056,11.63333333,1236523,11.1,651202.3333,12.03333333,490921.6667,11.56666667,338702,11.5,32993.52667,0.5,100.0666667,1149,124947,668316,3881,1201,909,3248.01
E09000003,Barnet,2015Q3,506857.6667,7.3,1256821.667,7.233333333,664586,7.833333333,501417.3333,7.333333333,342445,7.1,33133.83333,0.5,100.1666667,1326,240512.01,539514.99,3930,1208,1047,3229.98
E09000003,Barnet,2015Q4,527968.6667,10.6,1317281,10.9,693940.6667,11.3,521158.6667,10.96666667,356232.3333,10.1,33226.75333,0.5,100.3,1498,95876.01,339126.99,4218,1272,1126,3192.99
E09000003,Barnet,2016Q1,542860.3333,9.233333333,1352242.667,9.633333333,715827.6667,10.43333333,535136.6667,9.7,366007.3333,8.4,33319.67,0.5,99.83333333,1643,89624.01,356235.99,3940,1187,1057,2772
E09000003,Barnet,2016Q2,562498.3333,12.73333333,1385371.667,12.06666667,733635,12.66666667,555035,13.06666667,381799.3333,12.73333333,33411.91667,0.5,100.4,1119,147306.99,652428.99,4048,1325,1231,2474.01
E09000003,Barnet,2016Q3,566613,11.8,1384460,10.16666667,738738,11.16666667,558914.3333,11.5,385186.6667,12.5,34094.28,0.333333333,100.8666667,1217,245307,527103,4000,1262,1229,2117.01
E09000003,Barnet,2016Q4,559501.6667,6,1374808.667,4.366666667,730087.3333,5.233333333,547540.3333,5.1,380979,6.966666667,35072.98,0.25,101.5,1120,94007.01,366960,4009,1299,1087,2580.99
E09000003,Barnet,2017Q1,573781.6667,5.7,1407830,4.1,743224.3333,3.833333333,559126.6667,4.466666667,392677.3333,7.3,36048.11667,0.25,102,975,96450.99,417771.99,4125,1329,1102,2469
E09000003,Barnet,2017Q2,572795.6667,1.866666667,1400224,1.066666667,737807.6667,0.6,555536.6667,0.133333333,393783.6667,3.2,37012.58,0.25,103.1666667,1056,159168.99,725610,4174,1358,1148,2187
E09000003,Barnet,2017Q3,562931,-0.666666667,1366805.333,-1.266666667,727886,-1.466666667,548352,-1.9,386184.3333,0.266666667,37056.72667,0.25,103.7,1021,257796.99,563834.01,4064,1364,1125,2041.98
E09000003,Barnet,2017Q4,574327.6667,2.666666667,1409685,2.533333333,747900.6667,2.466666667,560831,2.433333333,391893.3333,2.866666667,36631.04,0.416666667,104.5666667,976,98865.99,388368,4462,1406,1091,1866
E09000003,Barnet,2018Q1,566308,-1.3,1382070.333,-1.8,737559,-0.733333333,553547.6667,-0.966666667,386602,-1.566666667,36206.90333,0.5,104.7666667,834,97074.99,416469,4456,1216,1103,2325.99
E09000003,Barnet,2018Q2,565461,-1.3,1381499,-1.3,742288,0.633333333,557480.6667,0.333333333,383644.3333,-2.533333333,35787.41,0.5,105.6666667,987,172416.99,764279.01,4404,1468,1213,2382
E09000003,Barnet,2018Q3,562905,-0.033333333,1395489.333,2.133333333,741920.6667,1.933333333,554766.6667,1.166666667,380479,-1.5,35753.13,0.666666667,106.3,1095,284828.01,624605.01,4335,1371,1170,2611.98
E09000003,Barnet,2018Q4,567672.6667,-1.133333333,1417510.667,0.566666667,749916.6667,0.266666667,559659,-0.2,382884.6667,-2.266666667,35915.62,0.75,106.9333333,1000,108036,434286,4904,1348,1237,2776.98
