Financial Year,Financial Quarter,Police Force,CSP Name merged,Offence Description,Offence Group,Offence Subgroup,Offence Code,Offence Count,CSP Name
2015/16,1,Avon and Somerset,Bath and North East Somerset,Absconding from lawful custody,Miscellaneous crimes against society,Miscellaneous crimes against society,80,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Aggravated vehicle taking,Theft offences,Vehicle offences,37.2,4,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Aiding suicide,Miscellaneous crimes against society,Miscellaneous crimes against society,76,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Arson endangering life,Criminal damage and arson,Arson,56A,1,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Arson not endangering life,Criminal damage and arson,Arson,56B,9,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Assault with injury,Violence against the person,Violence with injury,8N,209,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D,7,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Assault without injury,Violence against the person,Violence without injury,105A,229,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Assault without injury on a constable,Violence against the person,Violence without injury,104,21,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,19,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,9,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Attempted murder,Violence against the person,Violence with injury,2,1,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Bail offences,Miscellaneous crimes against society,Miscellaneous crimes against society,83,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Bigamy,Miscellaneous crimes against society,Miscellaneous crimes against society,26,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Blackmail,Theft offences,Other theft offences,35,4,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,149,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,49,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Causing death by aggravated vehicle taking,Violence against the person,Death or serious injury - unlawful driving,37.1,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Causing death by careless driving under influence of drink or drugs,Violence against the person,Death or serious injury - unlawful driving,4.6,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Causing death by careless or inconsiderate driving,Violence against the person,Death or serious injury - unlawful driving,4.8,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Death or serious injury - unlawful driving,4.9,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Causing death or serious injury by dangerous driving,Violence against the person,Death or serious injury - unlawful driving,4.4,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Child abduction,Violence against the person,Violence without injury,13,2,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Concealing an infant death close to birth,Miscellaneous crimes against society,Miscellaneous crimes against society,15,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Conspiracy to murder,Violence against the person,Violence without injury,3A,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Corporate manslaughter,Violence against the person,Homicide,4.10,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B,38,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A,45,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C,133,
