annual survey of hours and earnings - resident analysis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
ONS Crown Copyright Reserved [from Nomis on 12 May 2026],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex        :,Full Time Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Name  :,Number of jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pay        :,Annual pay - gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,Standard error as a percentage of the figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,2002,Conf %,2003,Conf %,2004,Conf %,2005,Conf %,2006,Conf %,2007,Conf %,2008,Conf %,2009,Conf %,2010,Conf %,2011,Conf %,2012,Conf %,2013,Conf %,2014,Conf %,2015,Conf %,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %,2023,Conf %,2024,Conf %,2025,Conf %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country:United Kingdom,13586000,0.2,14141000,0.2,14082000,0.2,14239000,0.2,14845000,0.2,15173000,0.2,14969000,0.2,13920000,0.2,15595000,0.2,15102000,0.2,15041000,0.2,15526000,0.2,15511000,0.2,16003000,0.2,15910000,0.2,15970000,0.2,15942000,0.2,16228000,0.2,16103000,0.2,17445000,0.2,16547000,0.3,16826000,0.3,17451000,0.2,18154000,0.2
country:Great Britain,12978000,0.2,13409000,0.2,13398000,0.2,13585000,0.3,14184000,0.2,14505000,0.2,14284000,0.3,13310000,0.3,14969000,0.2,14511000,0.2,14454000,0.2,14957000,0.2,14963000,0.2,15413000,0.2,15281000,0.2,15343000,0.2,15345000,0.2,15604000,0.3,15400000,0.3,16668000,0.3,15748000,0.3,16054000,0.3,16709000,0.2,17419000,0.2
country:England,11085000,0.3,11535000,0.3,11483000,0.3,11635000,0.3,12163000,0.3,12450000,0.3,12265000,0.3,11409000,0.3,12817000,0.3,12434000,0.3,12410000,0.3,12849000,0.3,12853000,0.3,13253000,0.3,13151000,0.3,13232000,0.3,13212000,0.3,13447000,0.3,13282000,0.3,14420000,0.3,13537000,0.4,13820000,0.4,14360000,0.3,15000000,0.3
country:Wales,631000,2,620000,2,631000,2.3,648000,2.3,692000,1.9,703000,2.3,697000,2.6,616000,2.3,714000,1.9,703000,1.9,699000,1.8,722000,1.9,724000,1.9,740000,2,730000,2.1,710000,1.9,713000,2.4,733000,2.2,754000,2,782000,1.9,747000,2.5,777000,2.3,805000,2,849000,1.8
country:Scotland,1262000,1.4,1254000,1.3,1285000,1.4,1301000,1.7,1329000,1.3,1352000,1.6,1323000,1.5,1285000,1.5,1438000,1.3,1375000,1.2,1346000,1.3,1387000,1.3,1386000,1.5,1420000,1.5,1400000,1.4,1400000,1.4,1420000,1.4,1424000,1.5,1364000,1.6,1466000,1.4,1464000,1.6,1457000,1.6,1544000,1.3,1571000,1.3
country:Northern Ireland,376000,2.6,394000,2.5,385000,2.5,395000,2.9,432000,2.8,446000,2.8,458000,2.8,451000,2.9,477000,4,460000,2.5,465000,2.2,443000,2.2,422000,2.8,485000,2.5,511000,2.5,499000,2.8,468000,2.3,518000,2.8,595000,2.4,642000,3.7,665000,2.7,623000,3.2,602000,2.4,635000,2.3
country:England and Wales,11716000,0.3,12155000,0.2,12114000,0.3,12283000,0.3,12854000,0.3,13153000,0.3,12962000,0.3,12024000,0.3,13531000,0.3,13136000,0.2,13108000,0.3,13571000,0.2,13576000,0.3,13992000,0.3,13881000,0.3,13942000,0.3,13925000,0.3,14180000,0.3,14036000,0.3,15202000,0.3,14284000,0.3,14598000,0.4,15165000,0.3,15848000,0.2
ecounty:Durham (County),118000,4.7,121000,4.5,120000,4.8,121000,4.9,117000,4.8,127000,4.9,111000,5.5,103000,5,122000,5.1,123000,4.2,119000,5,122000,4.5,127000,5.2,134000,4,126000,4.9,131000,5,134000,7,131000,4.3,117000,5.5,136000,4.6,128000,5.1,129000,5.3,130000,5.6,133000,4.8
ecounty:Northumb,69000,6.2,79000,5.7,80000,6,78000,9.5,78000,6.1,75000,6.6,78000,6.9,69000,7.2,77000,6.1,74000,5.6,73000,6.5,72000,6.2,72000,5.3,75000,7.6,70000,9.7,73000,7.8,72000,5.8,67000,11.8,66000,6.9,69000,10.9,73000,6.8,77000,6.4,71000,6.8,74000,6.2
ecounty:Tyne and Wear (Met County),241000,3.3,248000,3.1,247000,4.3,241000,3.4,265000,3,276000,3.6,264000,4.5,244000,3.4,261000,3.4,260000,3.1,268000,3.5,268000,3.3,271000,3.6,273000,4.1,260000,3.3,267000,3.7,260000,3.1,265000,3.4,249000,3.5,262000,3.5,275000,4.1,286000,3.6,267000,3.3,266000,3.3
ecounty:Cheshire,173000,4,174000,3.8,181000,5.9,177000,6.8,184000,3.9,183000,4.7,176000,5.6,160000,4.6,182000,3.7,180000,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ecounty:Cumbria,103000,5.1,112000,4.7,99000,5.4,114000,4.6,117000,4.6,122000,5.4,122000,5.3,103000,7.5,123000,4.8,124000,4.5,117000,5.2,120000,4.3,118000,5.5,128000,4.2,131000,4.6,125000,7.2,129000,5.1,137000,7.7,140000,4.7,134000,4.6,127000,5.9,-,-,-,-,-,-
ecounty:Greater Manchester (Met County),563000,2.1,581000,2,582000,2.5,573000,2.8,609000,2,613000,2.3,591000,2.5,565000,2.5,627000,2.1,609000,1.9,610000,2.1,632000,2,637000,2.6,648000,2.3,627000,2.3,638000,2,641000,2.3,662000,2.7,613000,2.4,642000,2.4,643000,2.7,677000,2.9,713000,2.1,745000,2
ecounty:Lancashire,231000,3.4,257000,3.1,256000,3.3,257000,3.4,260000,3.2,273000,3.8,273000,3.4,251000,3.6,280000,3,271000,3.4,272000,3.1,268000,3.1,271000,3.2,283000,3.5,282000,3.7,276000,3.7,288000,3.4,297000,3.5,269000,4,297000,3.6,298000,3.4,281000,3.3,300000,3.7,322000,3
ecounty:Merseyside (Met County),262000,3.2,273000,3,278000,5.3,282000,4.3,305000,3,302000,3.7,304000,3.6,272000,3.3,314000,2.9,300000,2.6,298000,2.9,316000,2.9,311000,3.2,326000,3.1,319000,3,329000,3.6,327000,4,336000,2.9,311000,3.3,353000,3.1,321000,3.5,357000,4,356000,2.9,376000,2.7
ecounty:North Yorkshire,124000,4.7,126000,4.5,126000,4.5,123000,5.3,139000,4.2,137000,4.9,130000,6.2,128000,5,138000,4.9,130000,4.4,130000,4.7,132000,4.3,131000,6.7,130000,6.6,134000,4.9,135000,5.6,131000,4.5,137000,4.6,143000,5.6,159000,5.3,158000,5.9,-,-,-,-,-,-
ecounty:South Yorkshire (Met County),279000,3.1,277000,3,280000,3.6,293000,2.9,300000,2.8,327000,3.1,295000,3.3,291000,3.2,324000,2.7,301000,2.7,303000,2.7,310000,2.7,310000,3.4,322000,3.3,314000,3.1,314000,3.5,313000,2.9,321000,3.2,302000,3.7,324000,3.5,296000,3.4,321000,4,358000,3.2,359000,3
ecounty:West Yorkshire (Met County),503000,2.3,503000,2.2,495000,2.7,490000,2.8,510000,2.3,529000,2.5,512000,3,488000,2.5,551000,1.9,528000,2.1,516000,2.5,522000,2.3,519000,2.5,541000,2.7,545000,2.7,551000,2.5,550000,2.4,546000,2.3,552000,2.9,568000,2.7,541000,2.9,547000,3.1,601000,2.3,621000,2.1
ecounty:Derbyshire,170000,4,182000,3.7,178000,3.9,187000,4,192000,3.8,195000,4.5,186000,4.4,177000,3.9,182000,3.8,175000,3.8,183000,4.1,187000,3.7,185000,3.7,191000,3.8,185000,4.1,183000,3.8,195000,3.8,200000,3.5,194000,4.6,213000,4.3,205000,4.1,215000,5,227000,4.4,225000,3.6
ecounty:Leicestershire,159000,4.1,175000,3.8,170000,3.8,167000,4.1,172000,3.8,168000,4.3,175000,4.5,163000,4.8,181000,3.8,178000,3.6,180000,3.7,174000,4.2,168000,4,188000,4.6,179000,4,173000,3.9,168000,4,180000,6.1,172000,4.3,197000,3.9,185000,4.9,178000,4.2,183000,4.5,205000,4.4
ecounty:Lincolnshire,149000,4.2,159000,4,148000,6.4,167000,4.2,168000,3.9,169000,4.4,165000,4.4,156000,4.2,173000,3.4,163000,3.8,170000,4.5,171000,3.6,172000,3.8,167000,4.7,163000,7.4,165000,4.1,173000,3.9,176000,4.7,181000,4.5,203000,3.9,193000,4.2,196000,7.5,188000,4.7,201000,3.8
ecounty:Northamptonshire,164000,4,163000,3.9,174000,4.2,176000,4.4,182000,3.8,185000,4.5,184000,4.9,173000,4.8,194000,3.8,184000,3.4,193000,3.9,203000,3.6,199000,4.4,204000,3.3,202000,3.5,211000,3.7,201000,3.6,208000,4.2,205000,5.2,-,-,-,-,-,-,-,-,-,-
ecounty:Nottinghamshire,188000,3.8,190000,3.6,190000,5.4,197000,3.8,202000,3.6,203000,4.1,202000,4,197000,4,215000,3.9,196000,3.4,203000,3.3,211000,3.7,207000,3.5,212000,4.4,207000,3.9,205000,3.5,208000,4.5,213000,4.1,209000,4.2,208000,4.4,208000,4.7,209000,4.5,212000,4.1,218000,3.8
ecounty:Shropshire,63000,6.5,66000,6.2,62000,7.6,65000,6.5,67000,6.8,66000,6.9,66000,6.7,62000,6.9,72000,5.2,68000,5.5,68000,7.5,69000,8.1,67000,6.7,69000,8.2,67000,7.4,64000,7.8,67000,7.1,74000,8.3,75000,8.5,76000,6.2,82000,8.4,82000,6.2,75000,6.6,75000,6.3
ecounty:Staffordshire,202000,3.6,223000,3.3,207000,3.4,217000,4.6,232000,3.4,225000,4.6,226000,4.4,208000,3.9,229000,3,215000,3.7,209000,3.5,217000,3.4,217000,3.3,230000,3.7,215000,3.3,217000,3.5,224000,3.5,225000,3.9,221000,4.9,245000,3.7,236000,3.8,231000,6.8,240000,4.1,245000,3.4
ecounty:Warwickshire,135000,4.5,143000,4.2,143000,10.1,139000,5.1,152000,4.2,156000,4.9,144000,5.4,134000,5,152000,4.5,147000,4.2,145000,3.9,155000,4.1,153000,6.7,156000,4.1,157000,4.4,161000,4.5,153000,4.8,157000,4.2,152000,5.3,174000,4.5,177000,5.5,167000,4.3,160000,5.3,185000,4.1
ecounty:West Midlands (Met County),535000,2.2,551000,2.1,540000,2.2,566000,2.5,587000,2.1,599000,2.3,567000,2.6,540000,2.4,594000,2,573000,1.9,577000,2.4,590000,2.2,595000,2.5,622000,2.4,594000,2.3,614000,2.4,598000,2.3,591000,2.4,570000,3.3,595000,2.5,591000,2.8,597000,2.8,594000,2.4,661000,2.1
