Date Changed,Rate
18-Dec-25,3.75
07-Aug-25,4.0
08-May-25,4.25
06-Feb-25,4.5
07-Nov-24,4.75
01-Aug-24,5.0
03-Aug-23,5.25
22-Jun-23,5.0
11-May-23,4.5
23-Mar-23,4.25
02-Feb-23,4.0
15-Dec-22,3.5
03-Nov-22,3.0
22-Sep-22,2.25
04-Aug-22,1.75
16-Jun-22,1.25
05-May-22,1.0
17-Mar-22,0.75
03-Feb-22,0.5
16-Dec-21,0.25
19-Mar-20,0.1
11-Mar-20,0.25
02-Aug-18,0.75
02-Nov-17,0.5
04-Aug-16,0.25
05-Mar-09,0.5
05-Feb-09,1.0
08-Jan-09,1.5
04-Dec-08,2.0
06-Nov-08,3.0
08-Oct-08,4.5
10-Apr-08,5.0
07-Feb-08,5.25
06-Dec-07,5.5
05-Jul-07,5.75
10-May-07,5.5
11-Jan-07,5.25
09-Nov-06,5.0
03-Aug-06,4.75
04-Aug-05,4.5
05-Aug-04,4.75
10-Jun-04,4.5
06-May-04,4.25
05-Feb-04,4.0
06-Nov-03,3.75
10-Jul-03,3.5
06-Feb-03,3.75
08-Nov-01,4.0
04-Oct-01,4.5
18-Sep-01,4.75
02-Aug-01,5.0
10-May-01,5.25
05-Apr-01,5.5
08-Feb-01,5.75
10-Feb-00,6.0
13-Jan-00,5.75
